alg,benchmark,constant,numruns,instance,evals_to_tol_0,evals_to_tol_1,evals_to_tol_2,evals_to_tol_3,evals_to_tol_4,evals_to_tol_5,evals_to_tol_6,evals_to_tol_7,evals_to_tol_8,evals_to_tol_9
ftg,nguyen4,koza-erc,100,56,99,120,143,143,174,1244,19347,19347,1000000000,1000000000
ftg,nguyen4,koza-erc,100,14,124,124,228,328,473,516,516,3419,3419,1000000000
ftg,nguyen4,koza-erc,100,47,45,96,118,225,225,225,469,698,698,698
ftg,nguyen4,koza-erc,100,86,45,45,146,236,355,355,493,652,652,652
ftg,nguyen4,koza-erc,100,22,20,99,202,335,501,501,501,501,1066,1066
ftg,nguyen4,koza-erc,100,58,32,60,258,407,407,407,486,486,532,532
ftg,nguyen4,koza-erc,100,87,78,97,170,412,451,545,965,965,965,965
ftg,nguyen4,koza-erc,100,61,100,100,191,253,405,482,41572,41572,41572,41572
ftg,nguyen4,koza-erc,100,46,260,260,333,411,453,504,504,504,504,504
ftg,nguyen4,koza-erc,100,32,102,231,231,370,424,577,577,944,944,944
ftg,nguyen4,koza-erc,100,6,117,117,166,327,406,406,805,805,7772,7772
ftg,nguyen4,koza-erc,100,63,30,77,123,319,1182,1623,1623,1623,1623,1623
ftg,nguyen4,koza-erc,100,95,59,255,288,288,468,513,513,513,513,513
ftg,nguyen4,koza-erc,100,26,30,30,187,187,187,1491,3534,3534,3534,1000000000
ftg,nguyen4,koza-erc,100,30,167,224,224,380,380,380,380,454,454,454
ftg,nguyen4,koza-erc,100,1,21,122,230,267,382,382,428,4557,4557,4557
ftg,nguyen4,koza-erc,100,0,120,260,333,502,502,502,502,502,502,502
ftg,nguyen4,koza-erc,100,41,31,79,119,362,362,726,1043,1043,1043,1043
ftg,nguyen4,koza-erc,100,34,97,168,337,378,461,461,510,510,510,510
ftg,nguyen4,koza-erc,100,18,48,83,83,83,103,212,212,564,564,1000000000
ftg,nguyen4,koza-erc,100,94,117,193,223,362,362,362,466,466,65773,65773
ftg,nguyen4,koza-erc,100,2,47,62,203,335,518,561,561,561,561,561
ftg,nguyen4,koza-erc,100,10,30,140,166,724,724,724,724,724,724,724
ftg,nguyen6,koza-erc,100,42,19,60,78,408,449,449,1193,1193,1193,1193
ftg,nguyen6,koza-erc,100,53,191,191,191,191,286,516,516,516,516,516
ftg,nguyen6,koza-erc,100,54,11,45,200,200,200,237,342,475,599,599
ftg,nguyen6,koza-erc,100,5,59,59,59,306,425,425,474,548,548,548
ftg,nguyen6,koza-erc,100,17,11,77,147,200,234,234,386,746,1010,1010
ftg,nguyen6,koza-erc,100,74,19,96,166,166,295,497,497,497,578,578
ftg,nguyen6,koza-erc,100,36,157,157,157,386,386,386,436,542,542,542
ftg,nguyen6,koza-erc,100,16,19,30,95,95,192,231,301,357,849,849
ftg,nguyen6,koza-erc,100,49,60,60,121,121,144,305,697,697,1585,1585
ftg,nguyen6,koza-erc,100,60,10,77,232,335,372,414,559,559,799,799
ftg,nguyen6,koza-erc,100,24,43,124,203,466,552,552,552,552,552,552
ftg,nguyen6,koza-erc,100,80,43,59,77,162,219,293,462,563,563,563
ftg,nguyen6,koza-erc,100,9,46,97,261,332,462,506,506,506,506,506
ftg,nguyen6,koza-erc,100,44,19,45,170,198,415,503,503,503,503,503
ftg,nguyen6,koza-erc,100,91,30,75,141,141,166,223,302,338,421,1000000000
ftg,nguyen6,koza-erc,100,23,10,33,102,102,236,354,443,443,1614,1000000000
ftg,nguyen6,koza-erc,100,13,31,78,97,171,264,508,559,559,559,559
ftg,nguyen6,koza-erc,100,31,11,124,149,202,303,434,434,434,517,517
ftg,nguyen6,koza-erc,100,57,10,59,99,99,209,283,609,890,890,890
ftg,nguyen6,koza-erc,100,71,31,96,140,140,365,405,405,479,479,1000000000
ftg,nguyen6,koza-erc,100,35,10,30,170,293,293,293,994,994,994,994
ftg,nguyen6,koza-erc,100,67,59,59,59,222,410,410,537,537,537,537
ftg,nguyen6,koza-erc,100,11,19,115,115,190,289,459,459,559,607,607
ftg,nguyen6,koza-erc,100,21,10,121,121,144,232,416,504,852,852,852
